,speed,C0,MeanPacquisition
0,0.1,0.0010000000000000002,0.00029561823695520187
1,0.1,0.002659147948472495,0.0007842027459390649
2,0.1,0.007071067811865478,0.0028299497191747146
3,0.1,0.01880301546543197,0.0102972960269985
4,0.1,0.05000000000000001,0.024150169405772793
5,0.14,0.0010000000000000002,0.00041008016112717926
6,0.14,0.002659147948472495,0.0009939233711736806
7,0.14,0.007071067811865478,0.0026864024115360514
8,0.14,0.01880301546543197,0.007141259054791535
9,0.14,0.05000000000000001,0.013612569415892022
10,0.18,0.0010000000000000002,0.000528977251996619
11,0.18,0.002659147948472495,0.0012606561619813725
12,0.18,0.007071067811865478,0.002901805459781753
13,0.18,0.01880301546543197,0.006363484810514406
14,0.18,0.05000000000000001,0.010554281223773766
15,0.22,0.0010000000000000002,0.000651297467703957
16,0.22,0.002659147948472495,0.0015464035233521956
17,0.22,0.007071067811865478,0.003283173439876229
18,0.22,0.01880301546543197,0.006367956653787743
19,0.22,0.05000000000000001,0.009678720405232521
20,0.26,0.0010000000000000002,0.0007773851944978721
21,0.26,0.002659147948472495,0.0018381319209751976
22,0.26,0.007071067811865478,0.0037608253889221
23,0.26,0.01880301546543197,0.006714568999349646
24,0.26,0.05000000000000001,0.009625675231705521
